%Time	POS	POS	POS	Fx	Fy	Fz
0.000	 1.017	-0.583	-0.175	 -0.562	0.418	0.804
0.027	 1.017	-0.583	-0.175	 -0.565	0.420	0.808
0.059	 1.014	-0.584	-0.178	 -0.566	0.444	0.845
0.088	 1.015	-0.586	-0.176	 -0.535	0.465	0.873
0.127	 1.009	-0.589	-0.179	 -0.566	0.458	0.896
0.158	 1.002	-0.607	-0.177	 -0.566	0.555	0.903
0.186	 0.999	-0.612	-0.178	 -0.622	0.455	0.922
0.215	 0.980	-0.651	-0.177	 -0.640	0.667	0.906
0.244	 0.973	-0.658	-0.178	 -0.675	0.871	0.805
0.275	 0.937	-0.717	-0.166	 -0.714	0.696	0.768
0.305	 0.886	-0.804	-0.147	 -0.558	0.737	0.669
0.334	 0.827	-0.878	-0.136	 -0.638	1.024	0.546
0.365	 0.709	-1.002	-0.097	 -0.667	1.240	0.532
0.395	 0.669	-1.031	-0.096	 -0.455	1.488	0.427
0.424	 0.513	-1.117	-0.088	 -0.495	1.233	0.420
0.455	 0.473	-1.138	-0.091	 -0.374	1.094	0.363
0.484	 0.374	-1.167	-0.093	 -0.156	1.284	0.366
0.514	 0.264	-1.204	-0.083	 -0.223	1.208	0.367
0.545	 0.151	-1.224	-0.070	 0.064	1.449	0.421
0.576	 0.002	-1.244	-0.051	 0.258	1.589	0.463
0.605	 -0.060	-1.239	-0.050	 0.493	1.658	0.463
0.635	 -0.219	-1.224	-0.047	 0.422	1.772	0.472
0.668	 -0.241	-1.221	-0.049	 0.891	1.810	0.512
0.699	 -0.302	-1.203	-0.050	 0.981	1.837	0.555
0.729	 -0.342	-1.191	-0.050	 0.797	1.870	0.631
0.758	 -0.399	-1.172	-0.052	 0.688	1.797	0.579
0.793	 -0.474	-1.149	-0.054	 1.078	1.561	0.546
0.824	 -0.600	-1.082	-0.055	 1.083	1.475	0.554
0.854	 -0.609	-1.077	-0.056	 0.925	1.485	0.534
0.881	 -0.690	-1.031	-0.061	 1.207	1.238	0.522
0.908	 -0.807	-0.935	-0.060	 1.195	1.035	0.475
0.943	 -0.877	-0.879	-0.060	 1.096	0.872	0.414
0.971	 -0.904	-0.846	-0.059	 1.208	0.747	0.423
0.998	 -0.990	-0.743	-0.056	 1.271	0.596	0.438
1.027	 -1.042	-0.672	-0.059	 1.263	0.501	0.445
1.057	 -1.078	-0.592	-0.077	 1.223	0.442	0.417
1.086	 -1.126	-0.492	-0.093	 1.077	0.333	0.369
1.117	 -1.169	-0.368	-0.094	 1.038	0.096	0.458
1.146	 -1.186	-0.309	-0.097	 0.928	0.078	0.458
1.178	 -1.210	-0.220	-0.094	 0.915	-0.031	0.399
1.205	 -1.221	-0.103	-0.094	 0.829	-0.099	0.395
1.234	 -1.228	0.034	-0.094	 0.830	-0.195	0.419
1.264	 -1.221	0.090	-0.097	 0.854	-0.142	0.409
1.295	 -1.211	0.194	-0.097	 0.767	-0.161	0.327
1.324	 -1.181	0.325	-0.097	 0.651	-0.276	0.345
1.352	 -1.162	0.388	-0.096	 0.457	-0.183	0.263
1.381	 -1.121	0.491	-0.104	 0.378	-0.254	0.242
1.412	 -0.987	0.705	-0.124	 0.254	-0.250	0.216
1.441	 -0.880	0.824	-0.137	 0.201	-0.220	0.213
1.473	 -0.758	0.927	-0.144	 0.176	-0.263	0.258
1.502	 -0.650	1.016	-0.137	 0.162	-0.386	0.215
1.531	 -0.481	1.110	-0.130	 0.121	-0.345	0.177
1.563	 -0.328	1.170	-0.115	 0.097	-0.453	0.236
1.592	 -0.134	1.220	-0.086	 -0.045	-0.604	0.177
1.627	 -0.029	1.235	-0.073	 -0.028	-0.723	0.187
1.658	 0.124	1.233	-0.043	 -0.259	-1.087	0.097
1.688	 0.241	1.223	-0.035	 -0.473	-1.251	0.102
1.719	 0.361	1.190	-0.001	 -0.541	-1.306	0.048
1.748	 0.483	1.146	0.050	 -0.814	-1.236	-0.395
1.779	 0.567	1.087	0.091	 -0.751	-1.130	-0.552
1.811	 0.671	1.005	0.137	 -0.774	-0.953	-0.855
1.838	 0.679	0.997	0.140	 -0.856	-0.856	-1.061
1.869	 0.729	0.918	0.175	 -0.741	-0.636	-1.301
1.900	 0.803	0.811	0.204	 -0.827	-0.632	-1.336
1.932	 0.825	0.783	0.207	 -0.930	-0.533	-1.526
1.963	 0.905	0.686	0.207	 -0.682	-0.329	-1.447
1.990	 0.916	0.656	0.212	 -0.684	-0.304	-1.445
2.021	 1.057	0.618	0.429	 0.000	0.000	0.000
2.049	 1.151	0.629	0.572	 0.000	0.000	0.000
2.080	 1.282	0.571	0.752	 0.000	0.000	0.000
2.107	 1.403	0.459	0.810	 0.000	0.000	0.000
2.137	 1.504	0.370	0.852	 0.000	0.000	0.000
2.166	 1.574	0.261	0.909	 0.000	0.000	0.000
2.195	 1.597	0.223	0.928	 0.000	0.000	0.000
2.225	 1.630	0.191	0.941	 0.000	0.000	0.000
2.260	 1.653	0.185	0.940	 0.000	0.000	0.000
2.291	 1.676	0.197	0.940	 0.000	0.000	0.000
2.320	 1.680	0.200	0.939	 0.000	0.000	0.000
2.352	 1.680	0.219	0.941	 0.000	0.000	0.000
2.381	 1.680	0.223	0.941	 0.000	0.000	0.000
2.410	 1.680	0.223	0.941	 0.000	0.000	0.000
2.441	 1.680	0.221	0.940	 0.000	0.000	0.000
